"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"21","regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)","7/103",4.11505933070735e-07,3.0431843526612e-05,0,0,17.4068775100402,255.941020811466,"FBN2;TGFB3;HTRA1;PMEPA1;NREP;THBS1;TGFBR2"
"22","response to glucose (GO:0009749)","7/106",5.00655094120249e-07,3.53416982349431e-05,0,0,16.8768406961178,244.838208002049,"LGALS1;COL6A2;COL6A3;ILDR2;GAS6;THBS1;TGFBR2"
"23","response to hexose (GO:0009746)","7/111",6.85185907169542e-07,4.44941778584248e-05,0,0,16.0613994439296,227.968687862404,"LGALS1;COL6A2;COL6A3;ILDR2;GAS6;THBS1;TGFBR2"
"24","skeletal system development (GO:0001501)","8/162",6.87611248295039e-07,4.44941778584248e-05,0,0,12.5156794425087,177.598019510878,"COL1A1;COL3A1;COL1A2;IGFBP4;COL5A2;AEBP1;IGF1;RUNX1"
"25","response to monosaccharide (GO:0034284)","7/116",9.23738772921273e-07,5.51756274748745e-05,0,0,15.3207693157953,212.879584981612,"LGALS1;COL6A2;COL6A3;ILDR2;GAS6;THBS1;TGFBR2"
"26","ossification (GO:0001503)","7/116",9.23738772921273e-07,5.51756274748745e-05,0,0,15.3207693157953,212.879584981612,"COL1A1;MMP14;TGFB3;CTSK;MMP2;MGP;SPP1"
"27","wound healing (GO:0042060)","6/75",1.1006402236049e-06,6.33071950836447e-05,0,0,20.5393374741201,281.791874921904,"COL3A1;LOX;TNC;PLAT;TIMP1;TGFBR2"
"28","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)","8/186",1.94652094888986e-06,0.00010796239405807,0,0,10.8150178130995,142.211718838633,"FBN2;FZD1;TGFB3;HTRA1;PMEPA1;NREP;THBS1;TGFBR2"
"29","blood vessel development (GO:0001568)","6/85",2.30611769242785e-06,0.000123496578494499,0,0,17.9303797468354,232.735344735004,"COL1A1;COL3A1;COL1A2;LOX;ALDH1A2;TGFBR2"
"30","transforming growth factor beta receptor signaling pathway (GO:0007179)","7/134",2.43574862378616e-06,0.00012609058709133,0,0,13.1373683711223,169.803854692197,"COL3A1;COL1A2;ITGB5;TGFB3;PMEPA1;LTBP2;TGFBR2"
"31","transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)","8/196",2.8759442325727e-06,0.000144075528812432,0,0,10.2345614945511,130.584095575932,"COL3A1;COL1A2;ITGB5;TGFB3;PMEPA1;LTBP2;FSTL1;TGFBR2"
"32","trabecula formation (GO:0060343)","4/24",3.80254335938559e-06,0.000184542182410182,0,0,46.2558139534884,577.26517617489,"FBN2;COL1A1;MMP2;FHL2"
"33","response to acid chemical (GO:0001101)","9/275",4.11720065201967e-06,0.000193757957957168,0,0,8.20551378446115,101.751136833118,"COL1A1;COL3A1;GSN;COL1A2;MMP2;ALDH1A2;COL6A1;COL5A2;TNC"
"34","digestive tract development (GO:0048565)","5/54",4.38316646469631e-06,0.00020020757410804,0,0,23.8427370948379,294.165471079912,"COL3A1;CLMP;TGFB3;ALDH1A2;TGFBR2"
"35","bone trabecula formation (GO:0060346)","3/8",4.85459081423005e-06,0.000215405129557122,0,0,137.275862068966,1679.65058052617,"COL1A1;FBN2;MMP2"
"36","response to steroid hormone (GO:0048545)","10/369",6.24223515399659e-06,0.000269283088726575,0,0,6.80745125348189,81.5816683505047,"COL1A1;MMP14;LOX;MDK;TGFB3;ALDH1A2;SPP1;PLAT;THBS1;TGFBR2"
"37","regulation of peptidase activity (GO:0052547)","10/372",6.7015016048533e-06,0.000281281945738842,0,0,6.75,80.4139578217203,"MTCH1;MMP14;SERPINE2;F2R;SERPINH1;TIMP3;COL6A3;TIMP1;GAS6;THBS1"
"38","negative regulation of cellular response to growth factor stimulus (GO:0090288)","6/104",7.47259777880145e-06,0.000305393272381017,0,0,14.4402332361516,170.456381047506,"FBN2;TGFB3;HTRA1;PMEPA1;THBS1;TGFBR2"
"39","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)","6/107",8.80462217131493e-06,0.000336790472004064,0,0,14.0091937765205,163.070289894408,"FBN2;FZD1;TGFB3;HTRA1;PMEPA1;TGFBR2"
"40","regulation of wound healing (GO:0061041)","6/107",8.80462217131493e-06,0.000336790472004064,0,0,14.0091937765205,163.070289894408,"SERPINE2;F2R;PLAT;CD34;THBS1;TGFBR2"
"41","response to nutrient (GO:0007584)","7/163",8.89144195245758e-06,0.000336790472004064,0,0,10.6794871794872,124.206935402627,"COL1A1;GSN;ALDH1A2;TNC;SPP1;GAS6;TGFBR2"
"42","negative regulation of cell adhesion (GO:0007162)","6/115",1.33195537114398e-05,0.000492506355092049,0,0,12.975753604194,145.669409416053,"COL1A1;MMP14;LGALS1;SERPINE2;TNC;THBS1"
"43","organ morphogenesis (GO:0009887)","10/405",1.40341660905815e-05,0.000505781009387014,0,0,6.17563291139241,69.0066195189842,"COL1A1;MMP14;COL1A2;TGFB3;ELN;ALDH1A2;COL5A2;TNC;COL8A1;TGFBR2"
"44","regulation of cellular response to growth factor stimulus (GO:0090287)","7/176",1.46555991129527e-05,0.000505781009387014,0,0,9.85150067726527,109.653981390133,"FBN2;TGFB3;HTRA1;PMEPA1;NREP;THBS1;TGFBR2"
"45","response to mechanical stimulus (GO:0009612)","7/176",1.46555991129527e-05,0.000505781009387014,0,0,9.85150067726527,109.653981390133,"COL1A1;MMP14;COL3A1;SERPINE2;TNC;THBS1;TGFBR2"
"46","face morphogenesis (GO:0060325)","4/34",1.60351931170801e-05,0.000541362063278814,0,0,30.8217054263566,340.293963824209,"COL1A1;TGFB3;CRISPLD2;MMP2"
"47","protein trimerization (GO:0070206)","4/35",1.80421757325788e-05,0.000596159551333933,0,0,29.8259564891223,325.782911147595,"COL1A1;COL1A2;COL6A2;COL6A1"
"48","negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)","5/73",1.94654096037436e-05,0.000629787106554455,0,0,17.1643598615917,186.179606382605,"FBN2;TGFB3;HTRA1;PMEPA1;TGFBR2"
"49","regulation of cell adhesion (GO:0030155)","9/336",2.0477572554909e-05,0.000649013677097422,0,0,6.65409446143391,71.838803488369,"COL1A1;MMP14;LGALS1;GSN;SERPINE2;TNC;SPP1;COL8A1;THBS1"
"50","response to vitamin (GO:0033273)","5/75",2.22095919797334e-05,0.000689829926890521,0,0,16.672268907563,178.64313278845,"GSN;ALDH1A2;TNC;SPP1;GAS6"
"51","regulation of response to wounding (GO:1903034)","9/347",2.63764417237301e-05,0.000803188509744172,0,0,6.43392504930967,67.8331246812667,"PTGIS;SERPINE2;F2R;SPP1;PLAT;CD34;THBS1;SLC7A2;TGFBR2"
"52","response to axon injury (GO:0048678)","4/39",2.79553738767936e-05,0.000822360733250612,0,0,26.4119601328904,276.926790097137,"LGALS1;DPYSL3;TNC;NREP"
"53","regulation of blood coagulation (GO:0030193)","5/79",2.85946423667309e-05,0.000822360733250612,0,0,15.7678855325914,164.968209853479,"SERPINE2;F2R;PLAT;CD34;THBS1"
"54","regulation of hemostasis (GO:1900046)","5/79",2.85946423667309e-05,0.000822360733250612,0,0,15.7678855325914,164.968209853479,"SERPINE2;F2R;PLAT;CD34;THBS1"
"55","regulation of endopeptidase activity (GO:0052548)","9/354",3.08365771989661e-05,0.000870712807090807,0,0,6.30112721417069,65.448604865822,"MTCH1;SERPINE2;F2R;SERPINH1;TIMP3;COL6A3;TIMP1;GAS6;THBS1"
"56","platelet degranulation (GO:0002576)","5/81",3.22787825630099e-05,0.000895159809292042,0,0,15.3513931888545,158.750298709038,"TGFB3;TIMP1;IGF1;GAS6;THBS1"
"57","response to alcohol (GO:0097305)","8/274",3.29012255213372e-05,0.00089641409183573,0,0,7.20484137172199,74.368377329252,"COL1A1;GSN;ALDH1A2;TNC;SPP1;ADCY7;THBS1;TGFBR2"
"58","negative regulation of cell-substrate adhesion (GO:0010812)","4/42",3.76528851549209e-05,0.00100818845940676,0,0,24.3231334149327,247.782216143672,"COL1A1;MMP14;LGALS1;THBS1"
"59","extracellular matrix assembly (GO:0085029)","3/15",3.85535000723999e-05,0.00101480653580402,0,0,57.1781609195402,581.128161167013,"MFAP4;LOX;GAS6"
"60","regulation of coagulation (GO:0050818)","5/85",4.07446614870143e-05,0.00105460765482222,0,0,14.5808823529412,147.386266979117,"SERPINE2;F2R;PLAT;CD34;THBS1"
"61","response to nutrient levels (GO:0031667)","8/291",5.03580089917737e-05,0.00127144679024058,0,0,6.76618116004482,66.9605164441736,"COL1A1;GSN;ALDH1A2;TNC;SPP1;GAS6;FSTL1;TGFBR2"
"62","coagulation (GO:0050817)","10/472",5.15783308339706e-05,0.00127144679024058,0,0,5.26190476190476,51.9476755010757,"COL1A1;COL1A2;SERPINE2;TGFB3;F2R;PLAT;TIMP1;IGF1;GAS6;THBS1"
"63","blood coagulation (GO:0007596)","10/472",5.15783308339706e-05,0.00127144679024058,0,0,5.26190476190476,51.9476755010757,"COL1A1;COL1A2;SERPINE2;TGFB3;F2R;PLAT;TIMP1;IGF1;GAS6;THBS1"
"64","negative regulation of cellular component organization (GO:0051129)","10/474",5.34351346412801e-05,0.00129663693902981,0,0,5.23868534482759,51.5331681614069,"MMP14;LGALS1;GSN;DPYSL3;LMNA;SPP1;PMEPA1;IGF1;VIM;THBS1"
"65","hemostasis (GO:0007599)","10/478",5.73205411675653e-05,0.0013530908504378,0,0,5.19284188034188,50.7177155803778,"COL1A1;COL1A2;SERPINE2;TGFB3;F2R;PLAT;TIMP1;IGF1;GAS6;THBS1"
"66","regulation of cell-substrate adhesion (GO:0010810)","6/149",5.75041829548583e-05,0.0013530908504378,0,0,9.87362637362637,96.4026604383589,"COL1A1;MMP14;LGALS1;SPP1;COL8A1;THBS1"
"67","negative regulation of endopeptidase activity (GO:0010951)","7/222",6.4628477298101e-05,0.00149201528003917,0,0,7.72569347156066,74.5286479336861,"SERPINE2;SERPINH1;TIMP3;COL6A3;TIMP1;GAS6;THBS1"
"68","negative regulation of proteolysis (GO:0045861)","8/302",6.53297096218054e-05,0.00149201528003917,0,0,6.50937448149992,62.7247468508867,"SERPINE2;SERPINH1;TIMP3;COL6A3;PLAT;TIMP1;GAS6;THBS1"
"69","regeneration (GO:0031099)","5/97",7.67325848358798e-05,0.00172703919203074,0,0,12.6713554987212,120.063426209277,"GSN;TNC;NREP;GAS6;TGFBR2"
"70","osteoblast differentiation (GO:0001649)","5/98",8.05732438105595e-05,0.00176533535765179,0,0,12.5344718532574,118.154242622224,"COL1A1;COL6A1;TNC;FHL2;SPP1"
"71","negative regulation of peptidase activity (GO:0010466)","7/230",8.07075404979247e-05,0.00176533535765179,0,0,7.44551299367875,70.1715665934878,"SERPINE2;SERPINH1;TIMP3;COL6A3;TIMP1;GAS6;THBS1"
"72","response to extracellular stimulus (GO:0009991)","8/313",8.38364686672589e-05,0.00180830605333685,0,0,6.27109156337465,58.8644943279225,"COL1A1;GSN;ALDH1A2;TNC;SPP1;GAS6;FSTL1;TGFBR2"
"73","negative regulation of protein processing (GO:0010955)","8/316",8.95778185022606e-05,0.00187992367748663,0,0,6.20905923344948,57.8709332510209,"SERPINE2;SERPINH1;TIMP3;COL6A3;PLAT;TIMP1;GAS6;THBS1"
"74","negative regulation of protein maturation (GO:1903318)","8/316",8.95778185022606e-05,0.00187992367748663,0,0,6.20905923344948,57.8709332510209,"SERPINE2;SERPINH1;TIMP3;COL6A3;PLAT;TIMP1;GAS6;THBS1"
"75","positive regulation of angiogenesis (GO:0045766)","5/101",9.29884505575673e-05,0.00192548084954536,0,0,12.140931372549,112.704694021535,"PTGIS;CD34;THBS1;RUNX1;TGFBR2"
"76","secretion by cell (GO:0032940)","9/415",0.000104752760619059,0.00214053996370261,0,0,5.33771209633279,48.9143006871976,"SERPINE2;TGFB3;S100A13;ILDR2;LTBP2;TIMP1;IGF1;GAS6;THBS1"
"77","response to hypoxia (GO:0001666)","7/241",0.000108012534408986,0.00217848657061241,0,0,7.09154566985892,64.7689536524273,"MMP14;PTGIS;TGFB3;MMP2;LMNA;PLAT;THBS1"
"78","muscle organ development (GO:0007517)","5/106",0.00011689153155896,0.00232734036552647,0,0,11.5369831100757,104.458892386556,"LMNA;COL6A3;AEBP1;IGF1;VAMP5"
"79","response to decreased oxygen levels (GO:0036293)","7/245",0.000119633768561524,0.00235178788070945,0,0,6.97094259390503,62.9551082475976,"MMP14;PTGIS;TGFB3;MMP2;LMNA;PLAT;THBS1"
"80","muscle structure development (GO:0061061)","5/109",0.000133337739004667,0.00258841885842811,0,0,11.2024886877828,99.9556085128642,"LMNA;COL6A3;AEBP1;IGF1;VAMP5"
"81","response to oxygen levels (GO:0070482)","7/259",0.000168584422889867,0.0032322420833082,0,0,6.57898259705489,57.158687039967,"MMP14;PTGIS;TGFB3;MMP2;LMNA;PLAT;THBS1"
"82","response to drug (GO:0042493)","8/354",0.000195336034171961,0.00369947391547628,0,0,5.51642464401523,47.1146201895436,"FZD1;LGALS1;LOX;MDK;LPL;GAS6;THBS1;TGFBR2"
"83","multicellular organismal response to stress (GO:0033555)","4/66",0.000223299985730397,0.00417813105830489,0,0,14.8897224306077,125.177814030045,"LGALS1;MDK;THBS1;RUNX1"
"84","neuron projection guidance (GO:0097485)","8/367",0.000249316689763699,0.00455516257885911,0,0,5.3131326856444,44.0819281933848,"COL3A1;COL6A2;DPYSL3;COL6A1;COL5A2;COL6A3;COL4A5;NCAM1"
"85","axon guidance (GO:0007411)","8/367",0.000249316689763699,0.00455516257885911,0,0,5.3131326856444,44.0819281933848,"COL3A1;COL6A2;DPYSL3;COL6A1;COL5A2;COL6A3;COL4A5;NCAM1"
"86","positive regulation of cell migration (GO:0030335)","7/280",0.000271328527597844,0.00489968841115641,0,0,6.06641952425085,49.818530255493,"COL1A1;MMP14;F2R;IGF1;GAS6;THBS1;TGFBR2"
"87","tissue remodeling (GO:0048771)","4/71",0.000295932772445685,0.0052225408591835,0,0,13.7750780978827,111.927719962414,"MMP14;ELN;F2R;IGF1"
"88","biomineral tissue development (GO:0031214)","4/71",0.000295932772445685,0.0052225408591835,0,0,13.7750780978827,111.927719962414,"COL1A1;SPP1;PTN;IGF1"
"89","regulation of biomineral tissue development (GO:0070167)","4/72",0.000312270308261177,0.0054362289354241,0,0,13.5718194254446,109.546859175969,"FBN2;TGFB3;MGP;GAS6"
"90","positive regulation of cell motility (GO:2000147)","7/287",0.000315042243521036,0.0054362289354241,0,0,5.91265060240964,47.6725418735687,"COL1A1;MMP14;F2R;IGF1;GAS6;THBS1;TGFBR2"
"91","aging (GO:0007568)","6/204",0.000319734695565914,0.00545657123311939,0,0,7.11111111111111,57.2303572081842,"COL3A1;GSN;TGFB3;DPYSL3;TIMP1;TGFBR2"
"92","positive regulation of Ras protein signal transduction (GO:0046579)","3/30",0.000327618258668558,0.00553033864904642,0,0,25.3933588761175,203.74771528175,"COL3A1;F2R;IGF1"
"93","regulation of collagen metabolic process (GO:0010712)","3/31",0.000361542706024414,0.00603737443500984,0,0,24.4852216748768,194.048574345848,"MFAP4;TGFB3;F2R"
"94","positive regulation of cellular component movement (GO:0051272)","7/296",0.000379383076179102,0.00626789273729942,0,0,5.72589319214575,45.1026551622672,"COL1A1;MMP14;F2R;IGF1;GAS6;THBS1;TGFBR2"
"95","negative regulation of response to wounding (GO:1903035)","5/138",0.000399437044691624,0.00652974453059045,0,0,8.74701459531181,68.4493637680233,"PTGIS;SERPINE2;SPP1;PLAT;CD34"
"96","positive regulation of locomotion (GO:0040017)","7/304",0.000445048796545455,0.00719959146911554,0,0,5.56938866577421,42.9807914445498,"COL1A1;MMP14;F2R;IGF1;GAS6;THBS1;TGFBR2"
"97","protein heterooligomerization (GO:0051291)","4/81",0.000489692223698615,0.00784012395261804,0,0,11.9800664451827,91.3088735071779,"COL1A1;COL1A2;COL6A2;COL6A1"
"98","lung development (GO:0030324)","4/82",0.000513048177238171,0.00813024305358041,0,0,11.8258795468098,89.5827027036447,"MMP14;LOX;CRISPLD2;ALDH1A2"
"99","positive regulation of small GTPase mediated signal transduction (GO:0051057)","3/35",0.000519629039570594,0.0081513525096276,0,0,21.4202586206897,161.988464968822,"COL3A1;F2R;IGF1"
"100","leukocyte migration (GO:0050900)","6/226",0.00055034301661555,0.00838807783021166,0,0,6.39285714285714,47.9781934483505,"COL1A1;COL1A2;DPYSL3;SPP1;GAS6;CD34"
"101","lung lobe morphogenesis (GO:0060463)","2/8",0.000550923334630773,0.00838807783021166,0,0,75.3939393939394,565.749704968722,"IGF1;TGFBR2"
"102","skin morphogenesis (GO:0043589)","2/8",0.000550923334630773,0.00838807783021166,0,0,75.3939393939394,565.749704968722,"COL1A1;COL1A2"
"103","exocytosis (GO:0006887)","6/233",0.000645843912399217,0.00973782131996101,0,0,6.19351793580868,45.4910963163933,"TGFB3;S100A13;TIMP1;IGF1;GAS6;THBS1"
"104","lung alveolus development (GO:0048286)","3/38",0.000663266953621205,0.00990436133628588,0,0,19.5812807881773,143.302333449556,"FZD1;TGFB3;IGF1"
"105","angiogenesis (GO:0001525)","6/236",0.000690505749552596,0.0102129088481446,0,0,6.11180124223602,44.4822166357919,"MMP14;COL15A1;MMP2;COL8A1;CD34;THBS1"
"106","regulation of protein localization to nucleus (GO:1900180)","5/156",0.000698071359193984,0.0102274039700779,0,0,7.69731203739774,55.9378231121489,"FZD1;TGFB3;LMNA;IGF1;GAS6"
"107","regulation of multicellular organismal metabolic process (GO:0044246)","3/39",0.000716209892006059,0.0102988329841242,0,0,19.0363984674329,137.852789344514,"MFAP4;TGFB3;F2R"
"108","embryo implantation (GO:0007566)","3/39",0.000716209892006059,0.0102988329841242,0,0,19.0363984674329,137.852789344514,"MMP2;SPP1;TGFBR2"
"109","negative regulation of neuron projection development (GO:0010977)","4/91",0.000760234415108757,0.0108315967583844,0,0,10.5977011494253,76.1114574743369,"LGALS1;DPYSL3;SPP1;VIM"
"110","positive regulation of wound healing (GO:0090303)","3/41",0.000830002320030936,0.0117181236637095,0,0,18.032667876588,127.925225712577,"F2R;THBS1;TGFBR2"
"111","tube development (GO:0035295)","5/164",0.000874332981411851,0.0120974455187432,0,0,7.3070662227155,51.4567203541683,"COL3A1;CLMP;TGFB3;ALDH1A2;TGFBR2"
"112","regulation of glomerular filtration (GO:0003093)","2/10",0.00088023911372697,0.0120974455187432,0,0,56.5397727272727,397.775222393035,"F2R;GAS6"
"113","regulation of plasminogen activation (GO:0010755)","2/10",0.00088023911372697,0.0120974455187432,0,0,56.5397727272727,397.775222393035,"SERPINE2;THBS1"
"114","response to estrogen (GO:0043627)","5/166",0.000923152297741818,0.012575925599939,0,0,7.21556448666423,50.4203178232326,"COL1A1;MMP14;TGFB3;ALDH1A2;TGFBR2"
"115","negative regulation of blood coagulation (GO:0030195)","3/43",0.000954671469470582,0.0127810757938605,0,0,17.1293103448276,119.119678557318,"SERPINE2;PLAT;CD34"
"116","negative regulation of hemostasis (GO:1900047)","3/43",0.000954671469470582,0.0127810757938605,0,0,17.1293103448276,119.119678557318,"SERPINE2;PLAT;CD34"
"117","activation of protein kinase activity (GO:0032147)","6/252",0.000970616335131129,0.0128834800722961,0,0,5.70963995354239,39.6110799019248,"TGFB3;F2R;GAS6;ADCY7;THBS1;TGFBR2"
"118","positive regulation of protein kinase activity (GO:0045860)","8/456",0.0010399146540805,0.0132321371731144,0,0,4.23824041811847,29.1108486287629,"TGFB3;F2R;LMNA;KDELR3;GAS6;ADCY7;THBS1;TGFBR2"
"119","ventricular cardiac muscle cell development (GO:0055015)","2/11",0.0010727013968831,0.0132321371731144,0,0,50.2550505050505,343.622684100799,"LMNA;FHL2"
"120","positive regulation of Rho protein signal transduction (GO:0035025)","2/11",0.0010727013968831,0.0132321371731144,0,0,50.2550505050505,343.622684100799,"COL3A1;F2R"
"121","negative regulation of focal adhesion assembly (GO:0051895)","2/11",0.0010727013968831,0.0132321371731144,0,0,50.2550505050505,343.622684100799,"MMP14;THBS1"
"122","negative regulation of adherens junction organization (GO:1903392)","2/11",0.0010727013968831,0.0132321371731144,0,0,50.2550505050505,343.622684100799,"MMP14;THBS1"
"123","negative regulation of cell junction assembly (GO:1901889)","2/11",0.0010727013968831,0.0132321371731144,0,0,50.2550505050505,343.622684100799,"MMP14;THBS1"
"124","cellular response to vitamin (GO:0071295)","2/11",0.0010727013968831,0.0132321371731144,0,0,50.2550505050505,343.622684100799,"TNC;GAS6"
"125","negative regulation of hydrolase activity (GO:0051346)","7/354",0.00108927950665816,0.0132321371731144,0,0,4.75473073851602,32.437908548615,"SERPINE2;SERPINH1;TIMP3;COL6A3;TIMP1;GAS6;THBS1"
"126","actin filament bundle assembly (GO:0051017)","3/45",0.00109060757125476,0.0132321371731144,0,0,16.311986863711,111.264394072469,"ITGB5;ELN;DPYSL3"
"127","negative regulation of protein secretion (GO:0050709)","3/45",0.00109060757125476,0.0132321371731144,0,0,16.311986863711,111.264394072469,"F2R;GAS6;CD34"
"128","actin filament bundle organization (GO:0061572)","3/45",0.00109060757125476,0.0132321371731144,0,0,16.311986863711,111.264394072469,"ITGB5;ELN;DPYSL3"
"129","protein localization to nucleus (GO:0034504)","4/101",0.00112241874421228,0.0135125295330363,0,0,9.50035962598897,64.5290013039522,"COL1A1;TGFB3;F2R;LMNA"
"130","inner ear development (GO:0048839)","3/46",0.00116291918041682,0.0138021975083206,0,0,15.9318364073777,107.648581147665,"TGFB3;IGF1;CXCL14"
"131","zymogen activation (GO:0031638)","4/102",0.00116425490894398,0.0138021975083206,0,0,9.40294257237779,63.5232142808653,"MTCH1;MMP14;F2R;PLAT"
"132","negative regulation of coagulation (GO:0050819)","3/47",0.00123818809460434,0.0145674705372768,0,0,15.5689655172414,104.220308316439,"SERPINE2;PLAT;CD34"
"133","extracellular fibril organization (GO:0043206)","2/12",0.00128347809000321,0.0148579130185885,0,0,45.2272727272727,301.131396371139,"MFAP4;COL3A1"
