"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"36","'de novo' posttranslational protein folding (GO:0051084)","4/49",3.32274187829833e-06,5.980935380937e-05,0,0,46.5801169590643,587.595144600525,"TUBA1C;TUBA1B;TUBB6;TUBB4B"
"37","negative regulation of cell cycle phase transition (GO:1901988)","6/200",3.60548144263933e-06,6.18960682617392e-05,0,0,16.979381443299,212.803525698292,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"38","regulation of mitosis (GO:0007088)","5/112",3.62970770670693e-06,6.18960682617392e-05,0,0,25.070724930538,314.044886692621,"CDC20;CENPF;UBE2C;NUSAP1;BIRC5"
"39","chromosome organization (GO:0051276)","6/204",4.04135409024171e-06,6.71486525763239e-05,0,0,16.6329966329966,206.564033371733,"TOP2A;CENPF;NUSAP1;CDK1;CENPA;SMC4"
"40","'de novo' protein folding (GO:0006458)","4/54",4.92207723518428e-06,7.97376512099854e-05,0,0,41.9115789473684,512.23409375509,"TUBA1C;TUBA1B;TUBB6;TUBB4B"
"41","positive regulation of cell division (GO:0051781)","5/120",5.09311077096815e-06,8.04959946240819e-05,0,0,23.3172737955347,284.18211350945,"RACGAP1;UBE2C;NUSAP1;BIRC5;ECT2"
"42","negative regulation of mitotic cell cycle (GO:0045930)","6/219",6.07513499058999e-06,9.37306541405313e-05,0,0,15.4499217527387,185.573743229582,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"43","cell division (GO:0051301)","5/131",7.81949938634572e-06,0.000117838037264001,0,0,21.2698412698413,250.109724289107,"TOP2A;TUBA1C;TUBA1B;CCNB1;BIRC5"
"44","negative regulation of organelle organization (GO:0010639)","6/237",9.54067007971807e-06,0.000140508050264939,0,0,14.2330447330447,164.5332404285,"CDC20;CCNB1;CENPF;UBE2C;STMN1;CKAP2"
"45","regulation of nuclear division (GO:0051783)","5/138",1.00750969551869e-05,0.000145081396154691,0,0,20.1432635643162,231.757187428356,"CDC20;CENPF;UBE2C;NUSAP1;BIRC5"
"46","mitotic cytokinesis (GO:0000281)","3/22",1.28970439175174e-05,0.000178794862731541,0,0,80.7246963562753,908.839997055567,"RACGAP1;CKAP2;NUSAP1"
"47","regulation of mitotic cell cycle phase transition (GO:1901990)","6/251",1.32213616401811e-05,0.000178794862731541,0,0,13.4102040816327,150.645897540999,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"48","positive regulation of protein ubiquitination (GO:0031398)","5/146",1.324406390604e-05,0.000178794862731541,0,0,18.9927161203757,213.32544889447,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"49","negative regulation of cell cycle process (GO:0010948)","6/254",1.41426341062082e-05,0.000187029120424957,0,0,13.2459677419355,147.908669841155,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"50","sister chromatid segregation (GO:0000819)","3/23",1.48099515360206e-05,0.000191936971906826,0,0,76.6846153846154,852.749119026587,"TOP2A;NUSAP1;SMC4"
"51","positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051437)","4/72",1.55801198252488e-05,0.000197959169544337,0,0,30.7894736842105,340.824535450128,"CDC20;CCNB1;UBE2C;CDK1"
"52","establishment of chromosome localization (GO:0051303)","3/24",1.69009533836551e-05,0.000210611880627087,0,0,73.029304029304,802.456255072568,"CENPF;CCNB1;BIRC5"
"53","regulation of cell cycle phase transition (GO:1901987)","6/264",1.75959851783707e-05,0.000215135818784608,0,0,12.7260981912145,139.323284235859,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"54","positive regulation of protein modification by small protein conjugation or removal (GO:1903322)","5/158",1.94003511409847e-05,0.000232804213691816,0,0,17.4924924924925,189.797381256597,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"55","regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)","4/78",2.14060350871112e-05,0.000250491087777849,0,0,28.2844950213371,304.110298828937,"CDC20;CCNB1;UBE2C;CDK1"
"56","protein localization to chromosome (GO:0034502)","3/26",2.16473779561104e-05,0.000250491087777849,0,0,66.6722408026756,716.101617806214,"CDK1;ESCO2;CENPA"
"57","mitotic cell cycle phase transition (GO:0044772)","6/277",2.30728525827585e-05,0.000262301903046097,0,0,12.1076260762608,129.271354018983,"CCNB1;HSP90AA1;CENPF;CDK1;BIRC5;TUBB4B"
"58","cytoskeleton-dependent cytokinesis (GO:0061640)","3/27",2.43177542098448e-05,0.000269235190565332,0,0,63.8910256410256,678.79766960099,"RACGAP1;NUSAP1;CKAP2"
"59","cell cycle phase transition (GO:0044770)","6/280",2.45136979064114e-05,0.000269235190565332,0,0,11.9732360097324,127.111208006748,"CCNB1;HSP90AA1;CENPF;CDK1;BIRC5;TUBB4B"
"60","establishment of organelle localization (GO:0051656)","5/168",2.60639096973289e-05,0.000281490224731152,0,0,16.4110429447853,173.21788494962,"CCNB1;CENPF;NUSAP1;BIRC5;CENPA"
"61","mitotic spindle assembly checkpoint (GO:0007094)","3/32",4.09362172029245e-05,0.00042784949592734,0,0,52.8620689655172,534.091669599993,"CDC20;CENPF;UBE2C"
"62","negative regulation of microtubule polymerization or depolymerization (GO:0031111)","3/32",4.09362172029245e-05,0.00042784949592734,0,0,52.8620689655172,534.091669599993,"CCNB1;STMN1;CKAP2"
"63","spindle assembly checkpoint (GO:0071173)","3/33",4.49641240989049e-05,0.000462488133588736,0,0,51.0974358974359,511.467225853582,"CDC20;CENPF;UBE2C"
"64","negative regulation of mitotic metaphase/anaphase transition (GO:0045841)","3/34",4.92435243056101e-05,0.000476265727612468,0,0,49.4466501240695,490.44810475786,"CDC20;CENPF;UBE2C"
"65","negative regulation of sister chromatid segregation (GO:0033046)","3/34",4.92435243056101e-05,0.000476265727612468,0,0,49.4466501240695,490.44810475786,"CDC20;CENPF;UBE2C"
"66","negative regulation of mitotic sister chromatid separation (GO:2000816)","3/34",4.92435243056101e-05,0.000476265727612468,0,0,49.4466501240695,490.44810475786,"CDC20;CENPF;UBE2C"
"67","negative regulation of mitotic sister chromatid segregation (GO:0033048)","3/34",4.92435243056101e-05,0.000476265727612468,0,0,49.4466501240695,490.44810475786,"CDC20;CENPF;UBE2C"
"68","negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)","3/35",5.37815089227543e-05,0.000512506143852129,0,0,47.8990384615385,470.875370242782,"CDC20;CENPF;UBE2C"
"69","negative regulation of chromosome segregation (GO:0051985)","3/36",5.85851245101452e-05,0.000550190734530059,0,0,46.4452214452214,452.610064336833,"CDC20;CENPF;UBE2C"
"70","proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)","5/205",6.73325584377215e-05,0.000623307112394908,0,0,13.35,128.238319879602,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"71","proteasomal protein catabolic process (GO:0010498)","5/212",7.89145539584388e-05,0.000710230985625949,0,0,12.8939809374592,121.811306077452,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"72","regulation of protein ubiquitination (GO:0031396)","5/212",7.89145539584388e-05,0.000710230985625949,0,0,12.8939809374592,121.811306077452,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"73","regulation of cytoskeleton organization (GO:0051493)","6/350",8.48187166748928e-05,0.000752911348018226,0,0,9.50290697674419,89.0896989686163,"TPX2;CCNB1;RACGAP1;STMN1;CKAP2;ECT2"
"74","positive regulation of mitosis (GO:0045840)","3/42",9.33741077194382e-05,0.000780674170291123,0,0,39.2879684418146,364.548991705504,"UBE2C;NUSAP1;BIRC5"
"75","regulation of mitotic sister chromatid separation (GO:0010965)","3/42",9.33741077194382e-05,0.000780674170291123,0,0,39.2879684418146,364.548991705504,"CDC20;CENPF;UBE2C"
"76","regulation of sister chromatid segregation (GO:0033045)","3/42",9.33741077194382e-05,0.000780674170291123,0,0,39.2879684418146,364.548991705504,"CDC20;CENPF;UBE2C"
"77","regulation of mitotic sister chromatid segregation (GO:0033047)","3/42",9.33741077194382e-05,0.000780674170291123,0,0,39.2879684418146,364.548991705504,"CDC20;CENPF;UBE2C"
"78","positive regulation of cell cycle process (GO:0090068)","5/220",9.39700390165241e-05,0.000780674170291123,0,0,12.4091766184789,115.06451906055,"RACGAP1;UBE2C;NUSAP1;BIRC5;ECT2"
"79","protein folding (GO:0006457)","5/221",9.59971388122164e-05,0.000787419568991345,0,0,12.3511011011011,114.262409809489,"TUBA1C;TUBA1B;TUBB6;HSP90AA1;TUBB4B"
"80","regulation of mitotic metaphase/anaphase transition (GO:0030071)","3/44",0.000107407790937257,0.000859262327498054,0,0,37.3677298311445,341.49911798052,"CDC20;CENPF;UBE2C"
"81","negative regulation of mitosis (GO:0045839)","3/44",0.000107407790937257,0.000859262327498054,0,0,37.3677298311445,341.49911798052,"CDC20;CENPF;UBE2C"
"82","regulation of protein modification by small protein conjugation or removal (GO:1903320)","5/228",0.000111146369514924,0.000878327407874037,0,0,11.9591564658829,108.884084375502,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"83","regulation of metaphase/anaphase transition of cell cycle (GO:1902099)","3/45",0.00011491191718127,0.000897143642571846,0,0,36.4761904761905,330.888095716504,"CDC20;CENPF;UBE2C"
"84","regulation of mitotic spindle organization (GO:0060236)","2/8",0.000119580397239479,0.000922477350133127,0,0,166.266666666667,1501.64099677384,"TPX2;CCNB1"
"85","DNA topological change (GO:0006265)","2/9",0.00015354169033611,0.0011705295922094,0,0,142.507142857143,1251.43195148285,"TOP2A;HMGB2"
"86","negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)","3/52",0.000177148817500508,0.0013194532613831,0,0,31.25431711146,269.99105601187,"CDC20;CENPF;UBE2C"
"87","regulation of microtubule polymerization or depolymerization (GO:0031110)","3/52",0.000177148817500508,0.0013194532613831,0,0,31.25431711146,269.99105601187,"CCNB1;STMN1;CKAP2"
"88","DNA ligation (GO:0006266)","2/10",0.000191671762852463,0.00141140116282268,0,0,124.6875,1067.2908627312,"TOP2A;HMGB2"
"89","negative regulation of nuclear division (GO:0051784)","3/54",0.0001982441455607,0.00144339557666667,0,0,30.025641025641,255.99895252676,"CDC20;CENPF;UBE2C"
"90","positive regulation of nuclear division (GO:0051785)","3/55",0.000209375614233905,0.00149093843981946,0,0,29.4467455621302,249.454592672859,"UBE2C;NUSAP1;BIRC5"
"91","negative regulation of proteasomal protein catabolic process (GO:1901799)","3/55",0.000209375614233905,0.00149093843981946,0,0,29.4467455621302,249.454592672859,"CDC20;CENPF;UBE2C"
"92","kinetochore assembly (GO:0051382)","2/11",0.000233953796761913,0.00163012968066365,0,0,110.827777777778,926.563102801396,"CENPF;CENPA"
"93","ventricular cardiac muscle cell development (GO:0055015)","2/11",0.000233953796761913,0.00163012968066365,0,0,110.827777777778,926.563102801396,"CCNB1;CDK1"
"94","protein catabolic process (GO:0030163)","5/269",0.000240143228503639,0.001655455447557,0,0,10.0808763308763,84.0167958566744,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"95","negative regulation of cell cycle (GO:0045786)","6/430",0.000259746270677685,0.00177174298314884,0,0,7.67845911949686,63.3918633827811,"TOP2A;CDC20;CCNB1;CENPF;UBE2C;CDK1"
"96","regulation of spindle organization (GO:0090224)","2/12",0.0002803710227626,0.00187299404897077,0,0,99.74,815.813031909379,"TPX2;CCNB1"
"97","protein localization to chromosome, centromeric region (GO:0071459)","2/12",0.0002803710227626,0.00187299404897077,0,0,99.74,815.813031909379,"CDK1;CENPA"
"98","negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)","3/61",0.000284725181641573,0.00188267262962999,0,0,26.3925729442971,215.468599131575,"CDC20;CENPF;UBE2C"
"99","negative regulation of cellular protein catabolic process (GO:1903363)","3/64",0.000328174597757468,0.00212304509578789,0,0,25.0907944514502,201.277469416111,"CDC20;CENPF;UBE2C"
"100","mitotic chromosome condensation (GO:0007076)","2/13",0.000330906720176816,0.00212304509578789,0,0,90.6681818181818,726.585254387913,"NUSAP1;SMC4"
"101","regulation of exit from mitosis (GO:0007096)","2/13",0.000330906720176816,0.00212304509578789,0,0,90.6681818181818,726.585254387913,"UBE2C;BIRC5"
"102","negative regulation of cell division (GO:0051782)","3/66",0.000359387942048076,0.00228317045536425,0,0,24.2918192918193,192.661045584858,"CDC20;CENPF;UBE2C"
"103","negative regulation of cellular component organization (GO:0051129)","6/474",0.000436720161035438,0.00274752101311615,0,0,6.94088319088319,53.6961850035096,"CDC20;CCNB1;CENPF;UBE2C;STMN1;CKAP2"
"104","regulation of chromosome organization (GO:0033044)","4/172",0.000458156581134596,0.00285466792860787,0,0,12.3997493734336,95.3329875535654,"CDC20;CCNB1;CENPF;UBE2C"
"105","metaphase plate congression (GO:0051310)","2/17",0.00057390151341792,0.00354179219709345,0,0,66.4766666666667,496.118870361564,"CENPF;CCNB1"
"106","negative regulation of chromosome organization (GO:2001251)","3/80",0.000632231829466092,0.00386496439145309,0,0,19.8611388611389,146.302201769237,"CDC20;CENPF;UBE2C"
"107","establishment of mitotic spindle localization (GO:0040001)","2/19",0.000719678573853836,0.00435842725100267,0,0,58.65,424.432799324448,"NUSAP1;CENPA"
"108","mitotic sister chromatid segregation (GO:0000070)","2/20",0.000798579474022515,0.00474751834097789,0,0,55.3888888888889,395.07100210657,"NUSAP1;SMC4"
"109","positive regulation of cardiac muscle cell proliferation (GO:0060045)","2/20",0.000798579474022515,0.00474751834097789,0,0,55.3888888888889,395.07100210657,"CCNB1;CDK1"
"110","ubiquitin-dependent protein catabolic process (GO:0006511)","5/355",0.00084965938892931,0.00500526621841994,0,0,7.57065637065637,53.5296507918536,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"111","modification-dependent protein catabolic process (GO:0019941)","5/364",0.000950372891029483,0.00554812282330725,0,0,7.37747496800422,51.3373114359275,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"112","positive regulation of cardiac muscle tissue growth (GO:0055023)","2/22",0.000968324347623737,0.00560244801125162,0,0,49.845,345.921481611764,"CCNB1;CDK1"
"113","meiotic cell cycle process (GO:1903046)","3/93",0.000979839049206988,0.00561890003439051,0,0,16.9811965811966,117.647805616033,"TOP2A;CKS2;SMC4"
"114","modification-dependent macromolecule catabolic process (GO:0043632)","5/368",0.00099788645144968,0.00567219667139818,0,0,7.29469138560048,50.4053769278364,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"115","negative regulation of microtubule depolymerization (GO:0007026)","2/23",0.00105913579860624,0.0059679999782334,0,0,47.4690476190476,325.177311259791,"CCNB1;CKAP2"
"116","regeneration (GO:0031099)","3/97",0.00110682906992329,0.00613013023342131,0,0,16.2553191489362,110.63786422992,"CCNB1;CDK1;MKI67"
"117","negative regulation of protein catabolic process (GO:0042177)","3/97",0.00110682906992329,0.00613013023342131,0,0,16.2553191489362,110.63786422992,"CDC20;CENPF;UBE2C"
"118","negative regulation of cytoskeleton organization (GO:0051494)","3/101",0.00124377715351113,0.00676380121469654,0,0,15.5886970172684,104.282185568237,"CCNB1;STMN1;CKAP2"
"119","positive regulation of heart growth (GO:0060421)","2/25",0.00125255578049936,0.00676380121469654,0,0,43.3369565217391,289.602210469497,"CCNB1;CDK1"
"120","regulation of microtubule depolymerization (GO:0031114)","2/25",0.00125255578049936,0.00676380121469654,0,0,43.3369565217391,289.602210469497,"CCNB1;CKAP2"
"121","proteolysis involved in cellular protein catabolic process (GO:0051603)","5/391",0.00130629520023323,0.00699569660951351,0,0,6.85198151519395,45.5009960136447,"CDC20;CCNB1;UBE2C;UBE2S;CDK1"
"122","protein K11-linked ubiquitination (GO:0070979)","2/26",0.00135513207504301,0.00713923239534854,0,0,41.5291666666667,274.252651294412,"UBE2C;UBE2S"
"123","establishment of spindle localization (GO:0051293)","2/26",0.00135513207504301,0.00713923239534854,0,0,41.5291666666667,274.252651294412,"NUSAP1;CENPA"
"124","GTP catabolic process (GO:0006184)","4/243",0.00165627188768987,0.00860326513120928,0,0,8.68487117375028,55.6108459727982,"TUBA1C;TUBA1B;TUBB6;TUBB4B"
"125","regulation of striated muscle tissue development (GO:0016202)","3/112",0.00167405971622568,0.00860326513120928,0,0,14.0077628793225,89.5446751211483,"CCNB1;CENPF;CDK1"
"126","positive regulation of cardiac muscle tissue development (GO:0055025)","2/29",0.00168613375256725,0.00860326513120928,0,0,36.9092592592593,235.677323973589,"CCNB1;CDK1"
"127","regulation of cardiac muscle cell proliferation (GO:0060043)","2/29",0.00168613375256725,0.00860326513120928,0,0,36.9092592592593,235.677323973589,"CCNB1;CDK1"
"128","regulation of muscle tissue development (GO:1901861)","3/113",0.00171721721541828,0.00869341215305506,0,0,13.8797202797203,88.3728757326893,"CCNB1;CENPF;CDK1"
"129","guanosine-containing compound catabolic process (GO:1901069)","4/246",0.00173224377625377,0.00870150362025147,0,0,8.57590256633319,54.528484859164,"TUBA1C;TUBA1B;TUBB6;TUBB4B"
"130","regulation of muscle organ development (GO:0048634)","3/114",0.00176106617253321,0.00877823753693475,0,0,13.7539847539848,87.2255139163129,"CCNB1;CENPF;CDK1"
"131","positive regulation of cytokinesis (GO:0032467)","2/30",0.00180417206795718,0.00892445419875004,0,0,35.5892857142857,224.840774762762,"RACGAP1;ECT2"
"132","regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)","3/116",0.00185085456143607,0.00908601330159525,0,0,13.5091899251191,85.00127958924,"CDC20;CENPF;UBE2C"
"133","mitotic spindle organization (GO:0007052)","2/31",0.00192603612559377,0.00924497340285008,0,0,34.3603448275862,214.830881903165,"STMN1;SPC25"
"134","cardiac muscle cell development (GO:0055013)","2/31",0.00192603612559377,0.00924497340285008,0,0,34.3603448275862,214.830881903165,"CCNB1;CDK1"
"135","hyaluronan metabolic process (GO:0030212)","2/31",0.00192603612559377,0.00924497340285008,0,0,34.3603448275862,214.830881903165,"HMMR;MKI67"
"136","GTP metabolic process (GO:0046039)","4/258",0.00206047089578966,0.00981753779758605,0,0,8.16576875259014,50.5038158746702,"TUBA1C;TUBA1B;TUBB6;TUBB4B"
"137","cardiac cell development (GO:0055006)","2/33",0.00218117826730547,0.0103168139942624,0,0,32.1403225806452,196.952363222241,"CCNB1;CDK1"
"138","regulation of DNA metabolic process (GO:0051052)","4/265",0.00227062821254967,0.0106620803024072,0,0,7.94394031054648,48.360315420414,"TOP2A;CCNB1;CDK1;ESCO2"
"139","guanosine-containing compound metabolic process (GO:1901068)","4/269",0.00239714480779481,0.0111751786723096,0,0,7.82244289970209,47.1965286406341,"TUBA1C;TUBA1B;TUBB6;TUBB4B"
"140","regulation of cardiac muscle tissue growth (GO:0055021)","2/35",0.00245143424643431,0.0113466385120674,0,0,30.1893939393939,181.470923073637,"CCNB1;CDK1"
"141","positive regulation of organ growth (GO:0046622)","2/36",0.00259219077574495,0.011913046969381,0,0,29.3,174.488880712401,"CCNB1;CDK1"
"142","mitotic nuclear envelope disassembly (GO:0007077)","2/37",0.00273667887699564,0.0124011742118404,0,0,28.4614285714286,167.951179806888,"CCNB1;CDK1"
"143","mitotic DNA integrity checkpoint (GO:0044774)","2/37",0.00273667887699564,0.0124011742118404,0,0,28.4614285714286,167.951179806888,"TOP2A;CDK1"
"144","regulation of proteasomal protein catabolic process (GO:0061136)","3/135",0.00284848309387184,0.0128181739224233,0,0,11.5536130536131,67.7153641805917,"CDC20;CENPF;UBE2C"
"145","nuclear envelope disassembly (GO:0051081)","2/39",0.00303678771205543,0.0134783454617255,0,0,26.9202702702703,156.055595234307,"CCNB1;CDK1"
"146","membrane disassembly (GO:0030397)","2/39",0.00303678771205543,0.0134783454617255,0,0,26.9202702702703,156.055595234307,"CCNB1;CDK1"
"147","regulation of heart growth (GO:0060420)","2/41",0.00335163704372498,0.0147745632947877,0,0,25.5371794871795,145.518672868888,"CCNB1;CDK1"
"148","negative regulation of cellular catabolic process (GO:0031330)","3/145",0.00348406471884112,0.0152545536338449,0,0,10.7345612134345,60.7528465029454,"CDC20;CENPF;UBE2C"
